R₁ = 9.68 [kΩ], Uc, R₂ = 5.30 [kΩ], Uc, R₃ = 1.82 [kΩ], Uc, Cᵢ [pF], R₀ [Ω], R_L [kΩ], C [nF], L [H]
70, 1.5, 70, 1.4, 70, 1.4, 114, 50, 1.6, 13.1, 4.42
122, 1.5, 118, 1.4, 108, 1.4
174, 1.5, 169, 1.5, 158, 1.4
221, 1.6, 225, 1.6, 209, 1.6
271, 1.7, 265, 1.6, 259, 1.6
320, 1.8, 322, 1.8, 314, 1.8
373, 1.9, 373, 2.0, 352, 2.0
421, 2.0, 425, 2.2, 409, 2.2
467, 2.2, 469, 2.4, 451, 2.6
525, 2.3, 529, 2.9, 511, 3.2
572, 2.3, 574, 3.2, 558, 4.2
619, 2.3, 618, 3.4, 600, 5.4
670, 2.2, 670, 3.2, 652, 6.2
715, 2.0, 727, 2.7, 723, 4.2
780, 1.7, 768, 2.3, 749, 3.5
840, 1.4, 819, 1.8, 805, 2.4
923, 1.1, 947, 1.0, 941, 1.2
998, 0.9, 1051, 0.8, 1020, 0.9
1090, 0.7, 1111, 0.6, 1101, 0.7
1190, 0.5, 1191, 0.5, 1192, 0.5
