U_1, I_1, U_2, I_2, U_3, I_3
0.23, 90.1, 0.25, 67.1, 0.23, 52.0
0.38, 90.3, 0.44, 67.3, 0.32, 52.1
0.66, 90.0, 0.67, 67.2, 0.65, 52.0
0.94, 89.7, 0.84, 67.1, 1.12, 52.0
1.22, 89.9, 1.00, 67.0, 1.49, 51.1
1.53, 89.2, 1.35, 60.8, 1.72, 41.5
1.72, 80.3, 1.58, 64.6, 1.68, 34.7
1.75, 76.2, 1.69, 58.5, 1.82, 26.8
1.80, 65.2, 1.75, 53.0, 1.87, 17.4
1.80, 35.1, 1.85, 32.9, 1.91, 5.9
1.90, 35.1, 1.85, 32.9, NA, NA
1.92, 23.8, 1.90, 17.7, NA, NA
1.93, 20.2, 1.91, 10.7, NA, NA
1.94, 14.9, 1.92, 7.2, NA, NA
